scope,name,split,success,total,success_rate
split,all,easy,54.0,150.0,0.36
split,all,background,50.0,150.0,0.3333333333333333
split,all,light,55.0,150.0,0.36666666666666664
split,all,clutter,58.0,150.0,0.38666666666666666
split,all,height,50.0,150.0,0.3333333333333333
split,all,hard,41.0,150.0,0.2733333333333333
task,adjust_bottle,background,1.0,3.0,0.3333333333333333
task,adjust_bottle,clutter,2.0,3.0,0.6666666666666666
task,adjust_bottle,easy,1.0,3.0,0.3333333333333333
task,adjust_bottle,hard,2.0,3.0,0.6666666666666666
task,adjust_bottle,height,0.0,3.0,0.0
task,adjust_bottle,light,2.0,3.0,0.6666666666666666
task,beat_block_hammer,background,2.0,3.0,0.6666666666666666
task,beat_block_hammer,clutter,1.0,3.0,0.3333333333333333
task,beat_block_hammer,easy,0.0,3.0,0.0
task,beat_block_hammer,hard,0.0,3.0,0.0
task,beat_block_hammer,height,2.0,3.0,0.6666666666666666
task,beat_block_hammer,light,2.0,3.0,0.6666666666666666
task,blocks_ranking_rgb,background,0.0,3.0,0.0
task,blocks_ranking_rgb,clutter,0.0,3.0,0.0
task,blocks_ranking_rgb,easy,0.0,3.0,0.0
task,blocks_ranking_rgb,hard,0.0,3.0,0.0
task,blocks_ranking_rgb,height,0.0,3.0,0.0
task,blocks_ranking_rgb,light,0.0,3.0,0.0
task,blocks_ranking_size,background,0.0,3.0,0.0
task,blocks_ranking_size,clutter,0.0,3.0,0.0
task,blocks_ranking_size,easy,0.0,3.0,0.0
task,blocks_ranking_size,hard,0.0,3.0,0.0
task,blocks_ranking_size,height,0.0,3.0,0.0
task,blocks_ranking_size,light,0.0,3.0,0.0
task,click_alarmclock,background,3.0,3.0,1.0
task,click_alarmclock,clutter,3.0,3.0,1.0
task,click_alarmclock,easy,3.0,3.0,1.0
task,click_alarmclock,hard,3.0,3.0,1.0
task,click_alarmclock,height,3.0,3.0,1.0
task,click_alarmclock,light,3.0,3.0,1.0
task,click_bell,background,3.0,3.0,1.0
task,click_bell,clutter,3.0,3.0,1.0
task,click_bell,easy,3.0,3.0,1.0
task,click_bell,hard,3.0,3.0,1.0
task,click_bell,height,3.0,3.0,1.0
task,click_bell,light,3.0,3.0,1.0
task,dump_bin_bigbin,background,1.0,3.0,0.3333333333333333
task,dump_bin_bigbin,clutter,2.0,3.0,0.6666666666666666
task,dump_bin_bigbin,easy,1.0,3.0,0.3333333333333333
task,dump_bin_bigbin,hard,1.0,3.0,0.3333333333333333
task,dump_bin_bigbin,height,1.0,3.0,0.3333333333333333
task,dump_bin_bigbin,light,3.0,3.0,1.0
task,grab_roller,background,3.0,3.0,1.0
task,grab_roller,clutter,2.0,3.0,0.6666666666666666
task,grab_roller,easy,3.0,3.0,1.0
task,grab_roller,hard,3.0,3.0,1.0
task,grab_roller,height,2.0,3.0,0.6666666666666666
task,grab_roller,light,3.0,3.0,1.0
task,handover_block,background,0.0,3.0,0.0
task,handover_block,clutter,0.0,3.0,0.0
task,handover_block,easy,0.0,3.0,0.0
task,handover_block,hard,1.0,3.0,0.3333333333333333
task,handover_block,height,0.0,3.0,0.0
task,handover_block,light,1.0,3.0,0.3333333333333333
task,handover_mic,background,1.0,3.0,0.3333333333333333
task,handover_mic,clutter,0.0,3.0,0.0
task,handover_mic,easy,0.0,3.0,0.0
task,handover_mic,hard,0.0,3.0,0.0
task,handover_mic,height,0.0,3.0,0.0
task,handover_mic,light,0.0,3.0,0.0
task,hanging_mug,background,0.0,3.0,0.0
task,hanging_mug,clutter,0.0,3.0,0.0
task,hanging_mug,easy,0.0,3.0,0.0
task,hanging_mug,hard,0.0,3.0,0.0
task,hanging_mug,height,0.0,3.0,0.0
task,hanging_mug,light,0.0,3.0,0.0
task,lift_pot,background,1.0,3.0,0.3333333333333333
task,lift_pot,clutter,0.0,3.0,0.0
task,lift_pot,easy,2.0,3.0,0.6666666666666666
task,lift_pot,hard,1.0,3.0,0.3333333333333333
task,lift_pot,height,1.0,3.0,0.3333333333333333
task,lift_pot,light,1.0,3.0,0.3333333333333333
task,move_can_pot,background,0.0,3.0,0.0
task,move_can_pot,clutter,0.0,3.0,0.0
task,move_can_pot,easy,2.0,3.0,0.6666666666666666
task,move_can_pot,hard,0.0,3.0,0.0
task,move_can_pot,height,1.0,3.0,0.3333333333333333
task,move_can_pot,light,1.0,3.0,0.3333333333333333
task,move_pillbottle_pad,background,1.0,3.0,0.3333333333333333
task,move_pillbottle_pad,clutter,2.0,3.0,0.6666666666666666
task,move_pillbottle_pad,easy,2.0,3.0,0.6666666666666666
task,move_pillbottle_pad,hard,0.0,3.0,0.0
task,move_pillbottle_pad,height,1.0,3.0,0.3333333333333333
task,move_pillbottle_pad,light,0.0,3.0,0.0
task,move_playingcard_away,background,3.0,3.0,1.0
task,move_playingcard_away,clutter,2.0,3.0,0.6666666666666666
task,move_playingcard_away,easy,2.0,3.0,0.6666666666666666
task,move_playingcard_away,hard,1.0,3.0,0.3333333333333333
task,move_playingcard_away,height,1.0,3.0,0.3333333333333333
task,move_playingcard_away,light,1.0,3.0,0.3333333333333333
task,move_stapler_pad,background,0.0,3.0,0.0
task,move_stapler_pad,clutter,0.0,3.0,0.0
task,move_stapler_pad,easy,0.0,3.0,0.0
task,move_stapler_pad,hard,0.0,3.0,0.0
task,move_stapler_pad,height,0.0,3.0,0.0
task,move_stapler_pad,light,0.0,3.0,0.0
task,open_laptop,background,0.0,3.0,0.0
task,open_laptop,clutter,1.0,3.0,0.3333333333333333
task,open_laptop,easy,0.0,3.0,0.0
task,open_laptop,hard,3.0,3.0,1.0
task,open_laptop,height,1.0,3.0,0.3333333333333333
task,open_laptop,light,1.0,3.0,0.3333333333333333
task,open_microwave,background,0.0,3.0,0.0
task,open_microwave,clutter,0.0,3.0,0.0
task,open_microwave,easy,3.0,3.0,1.0
task,open_microwave,hard,0.0,3.0,0.0
task,open_microwave,height,2.0,3.0,0.6666666666666666
task,open_microwave,light,1.0,3.0,0.3333333333333333
task,pick_diverse_bottles,background,3.0,3.0,1.0
task,pick_diverse_bottles,clutter,2.0,3.0,0.6666666666666666
task,pick_diverse_bottles,easy,2.0,3.0,0.6666666666666666
