scope,name,split,success,total,success_rate
split,all,easy,136.0,150.0,0.9066666666666666
split,all,background,138.0,150.0,0.92
split,all,light,137.0,150.0,0.9133333333333333
split,all,clutter,137.0,150.0,0.9133333333333333
split,all,height,138.0,150.0,0.92
split,all,hard,140.0,150.0,0.9333333333333333
task,adjust_bottle,background,3.0,3.0,1.0
task,adjust_bottle,clutter,3.0,3.0,1.0
task,adjust_bottle,easy,2.0,3.0,0.6666666666666666
task,adjust_bottle,hard,3.0,3.0,1.0
task,adjust_bottle,height,3.0,3.0,1.0
task,adjust_bottle,light,3.0,3.0,1.0
task,beat_block_hammer,background,3.0,3.0,1.0
task,beat_block_hammer,clutter,3.0,3.0,1.0
task,beat_block_hammer,easy,2.0,3.0,0.6666666666666666
task,beat_block_hammer,hard,3.0,3.0,1.0
task,beat_block_hammer,height,3.0,3.0,1.0
task,beat_block_hammer,light,3.0,3.0,1.0
task,blocks_ranking_rgb,background,3.0,3.0,1.0
task,blocks_ranking_rgb,clutter,3.0,3.0,1.0
task,blocks_ranking_rgb,easy,3.0,3.0,1.0
task,blocks_ranking_rgb,hard,3.0,3.0,1.0
task,blocks_ranking_rgb,height,3.0,3.0,1.0
task,blocks_ranking_rgb,light,3.0,3.0,1.0
task,blocks_ranking_size,background,2.0,3.0,0.6666666666666666
task,blocks_ranking_size,clutter,3.0,3.0,1.0
task,blocks_ranking_size,easy,2.0,3.0,0.6666666666666666
task,blocks_ranking_size,hard,2.0,3.0,0.6666666666666666
task,blocks_ranking_size,height,2.0,3.0,0.6666666666666666
task,blocks_ranking_size,light,3.0,3.0,1.0
task,click_alarmclock,background,3.0,3.0,1.0
task,click_alarmclock,clutter,3.0,3.0,1.0
task,click_alarmclock,easy,3.0,3.0,1.0
task,click_alarmclock,hard,3.0,3.0,1.0
task,click_alarmclock,height,3.0,3.0,1.0
task,click_alarmclock,light,3.0,3.0,1.0
task,click_bell,background,3.0,3.0,1.0
task,click_bell,clutter,3.0,3.0,1.0
task,click_bell,easy,3.0,3.0,1.0
task,click_bell,hard,3.0,3.0,1.0
task,click_bell,height,3.0,3.0,1.0
task,click_bell,light,3.0,3.0,1.0
task,dump_bin_bigbin,background,3.0,3.0,1.0
task,dump_bin_bigbin,clutter,3.0,3.0,1.0
task,dump_bin_bigbin,easy,3.0,3.0,1.0
task,dump_bin_bigbin,hard,3.0,3.0,1.0
task,dump_bin_bigbin,height,2.0,3.0,0.6666666666666666
task,dump_bin_bigbin,light,2.0,3.0,0.6666666666666666
task,grab_roller,background,3.0,3.0,1.0
task,grab_roller,clutter,3.0,3.0,1.0
task,grab_roller,easy,3.0,3.0,1.0
task,grab_roller,hard,3.0,3.0,1.0
task,grab_roller,height,3.0,3.0,1.0
task,grab_roller,light,3.0,3.0,1.0
task,handover_block,background,3.0,3.0,1.0
task,handover_block,clutter,3.0,3.0,1.0
task,handover_block,easy,3.0,3.0,1.0
task,handover_block,hard,3.0,3.0,1.0
task,handover_block,height,3.0,3.0,1.0
task,handover_block,light,3.0,3.0,1.0
task,handover_mic,background,2.0,3.0,0.6666666666666666
task,handover_mic,clutter,3.0,3.0,1.0
task,handover_mic,easy,3.0,3.0,1.0
task,handover_mic,hard,2.0,3.0,0.6666666666666666
