scope,name,split,success,total,success_rate
split,all,easy,21.0,150.0,0.14
split,all,background,18.0,150.0,0.12
split,all,light,0,0,
split,all,clutter,0,0,
split,all,height,0,0,
split,all,hard,0,0,
task,adjust_bottle,background,1.0,3.0,0.3333333333333333
task,adjust_bottle,easy,0.0,3.0,0.0
task,beat_block_hammer,background,0.0,3.0,0.0
task,beat_block_hammer,easy,0.0,3.0,0.0
task,blocks_ranking_rgb,background,0.0,3.0,0.0
task,blocks_ranking_rgb,easy,0.0,3.0,0.0
task,blocks_ranking_size,background,0.0,3.0,0.0
task,blocks_ranking_size,easy,0.0,3.0,0.0
task,click_alarmclock,background,2.0,3.0,0.6666666666666666
task,click_alarmclock,easy,2.0,3.0,0.6666666666666666
task,click_bell,background,2.0,3.0,0.6666666666666666
task,click_bell,easy,3.0,3.0,1.0
task,dump_bin_bigbin,background,0.0,3.0,0.0
task,dump_bin_bigbin,easy,0.0,3.0,0.0
task,grab_roller,background,2.0,3.0,0.6666666666666666
task,grab_roller,easy,0.0,3.0,0.0
task,handover_block,background,0.0,3.0,0.0
task,handover_block,easy,0.0,3.0,0.0
task,handover_mic,background,0.0,3.0,0.0
task,handover_mic,easy,0.0,3.0,0.0
task,hanging_mug,background,0.0,3.0,0.0
task,hanging_mug,easy,0.0,3.0,0.0
task,lift_pot,background,0.0,3.0,0.0
task,lift_pot,easy,0.0,3.0,0.0
task,move_can_pot,background,0.0,3.0,0.0
task,move_can_pot,easy,1.0,3.0,0.3333333333333333
task,move_pillbottle_pad,background,0.0,3.0,0.0
task,move_pillbottle_pad,easy,0.0,3.0,0.0
task,move_playingcard_away,background,1.0,3.0,0.3333333333333333
task,move_playingcard_away,easy,1.0,3.0,0.3333333333333333
task,move_stapler_pad,background,0.0,3.0,0.0
task,move_stapler_pad,easy,0.0,3.0,0.0
task,open_laptop,background,0.0,3.0,0.0
task,open_laptop,easy,1.0,3.0,0.3333333333333333
task,open_microwave,background,1.0,3.0,0.3333333333333333
task,open_microwave,easy,2.0,3.0,0.6666666666666666
task,pick_diverse_bottles,background,0.0,3.0,0.0
task,pick_diverse_bottles,easy,0.0,3.0,0.0
task,pick_dual_bottles,background,0.0,3.0,0.0
task,pick_dual_bottles,easy,0.0,3.0,0.0
task,place_a2b_left,background,1.0,3.0,0.3333333333333333
task,place_a2b_left,easy,0.0,3.0,0.0
task,place_a2b_right,background,0.0,3.0,0.0
task,place_a2b_right,easy,0.0,3.0,0.0
task,place_bread_basket,background,0.0,3.0,0.0
task,place_bread_basket,easy,1.0,3.0,0.3333333333333333
task,place_bread_skillet,background,0.0,3.0,0.0
task,place_bread_skillet,easy,0.0,3.0,0.0
task,place_burger_fries,background,0.0,3.0,0.0
task,place_burger_fries,easy,0.0,3.0,0.0
task,place_can_basket,background,0.0,3.0,0.0
task,place_can_basket,easy,0.0,3.0,0.0
task,place_cans_plasticbox,background,0.0,3.0,0.0
task,place_cans_plasticbox,easy,0.0,3.0,0.0
task,place_container_plate,background,0.0,3.0,0.0
task,place_container_plate,easy,1.0,3.0,0.3333333333333333
task,place_dual_shoes,background,0.0,3.0,0.0
task,place_dual_shoes,easy,0.0,3.0,0.0
task,place_empty_cup,background,2.0,3.0,0.6666666666666666
task,place_empty_cup,easy,0.0,3.0,0.0
task,place_fan,background,0.0,3.0,0.0
task,place_fan,easy,0.0,3.0,0.0
task,place_mouse_pad,background,0.0,3.0,0.0
task,place_mouse_pad,easy,0.0,3.0,0.0
task,place_object_basket,background,0.0,3.0,0.0
task,place_object_basket,easy,0.0,3.0,0.0
task,place_object_scale,background,0.0,3.0,0.0
task,place_object_scale,easy,0.0,3.0,0.0
task,place_object_stand,background,0.0,3.0,0.0
task,place_object_stand,easy,0.0,3.0,0.0
task,place_phone_stand,background,0.0,3.0,0.0
task,place_phone_stand,easy,1.0,3.0,0.3333333333333333
task,place_shoe,background,0.0,3.0,0.0
task,place_shoe,easy,0.0,3.0,0.0
task,press_stapler,background,1.0,3.0,0.3333333333333333
task,press_stapler,easy,2.0,3.0,0.6666666666666666
task,put_bottles_dustbin,background,0.0,3.0,0.0
task,put_bottles_dustbin,easy,0.0,3.0,0.0
task,put_object_cabinet,background,0.0,3.0,0.0
task,put_object_cabinet,easy,0.0,3.0,0.0
task,rotate_qrcode,background,0.0,3.0,0.0
task,rotate_qrcode,easy,0.0,3.0,0.0
task,scan_object,background,0.0,3.0,0.0
task,scan_object,easy,0.0,3.0,0.0
task,shake_bottle,background,2.0,3.0,0.6666666666666666
task,shake_bottle,easy,2.0,3.0,0.6666666666666666
task,shake_bottle_horizontally,background,2.0,3.0,0.6666666666666666
task,shake_bottle_horizontally,easy,3.0,3.0,1.0
task,stack_blocks_three,background,0.0,3.0,0.0
task,stack_blocks_three,easy,0.0,3.0,0.0
task,stack_blocks_two,background,1.0,3.0,0.3333333333333333
task,stack_blocks_two,easy,0.0,3.0,0.0
task,stack_bowls_three,background,0.0,3.0,0.0
task,stack_bowls_three,easy,0.0,3.0,0.0
task,stack_bowls_two,background,0.0,3.0,0.0
task,stack_bowls_two,easy,0.0,3.0,0.0
task,stamp_seal,background,0.0,3.0,0.0
task,stamp_seal,easy,0.0,3.0,0.0
task,turn_switch,background,0.0,3.0,0.0
task,turn_switch,easy,1.0,3.0,0.3333333333333333
