run_id,checkpoint,sample_id,task,episode_or_seed,domain,c2r_split,progress_bin,layer,token_group,perturbation,severity,timestep_quantile,timestep,sigma,noise_seed,transform_seed,metric_name,metric_value,direction_group
stage0_full_001,base,clean/adjust_bottle/episode_000044/0_139,adjust_bottle,episode_000044,clean,,,,action_velocity,direction_photo,0.5,0.25,750.0,0.75,13788209987369430635,,centered_directional_fd,0.0,nuisance
stage0_full_001,base,clean/adjust_bottle/episode_000044/0_139,adjust_bottle,episode_000044,clean,,,,action_velocity,direction_photo,0.5,0.5,500.0,0.5,13788209987369430635,,centered_directional_fd,0.0,nuisance
stage0_full_001,base,clean/adjust_bottle/episode_000044/0_139,adjust_bottle,episode_000044,clean,,,,action_velocity,direction_photo,0.5,0.75,251.00001525878906,0.2510000169277191,13788209987369430635,,centered_directional_fd,0.0,nuisance
stage0_full_001,base,clean/adjust_bottle/episode_000044/0_139,adjust_bottle,episode_000044,clean,,,,action_velocity,direction_photo,1.0,0.25,750.0,0.75,13788209987369430635,,centered_directional_fd,0.0,nuisance
stage0_full_001,base,clean/adjust_bottle/episode_000044/0_139,adjust_bottle,episode_000044,clean,,,,action_velocity,direction_photo,1.0,0.5,500.0,0.5,13788209987369430635,,centered_directional_fd,0.0,nuisance
stage0_full_001,base,clean/adjust_bottle/episode_000044/0_139,adjust_bottle,episode_000044,clean,,,,action_velocity,direction_photo,1.0,0.75,251.00001525878906,0.2510000169277191,13788209987369430635,,centered_directional_fd,0.0,nuisance
stage0_full_001,base,clean/adjust_bottle/episode_000044/0_139,adjust_bottle,episode_000044,clean,,,,action_velocity,direction_geometry,0.5,0.25,750.0,0.75,13788209987369430635,,centered_directional_fd,0.1774146556854248,signal
stage0_full_001,base,clean/adjust_bottle/episode_000044/0_139,adjust_bottle,episode_000044,clean,,,,action_velocity,direction_geometry,0.5,0.5,500.0,0.5,13788209987369430635,,centered_directional_fd,0.1949368268251419,signal
stage0_full_001,base,clean/adjust_bottle/episode_000044/0_139,adjust_bottle,episode_000044,clean,,,,action_velocity,direction_geometry,0.5,0.75,251.00001525878906,0.2510000169277191,13788209987369430635,,centered_directional_fd,0.2634735107421875,signal
stage0_full_001,base,clean/adjust_bottle/episode_000044/0_139,adjust_bottle,episode_000044,clean,,,,action_velocity,direction_geometry,1.0,0.25,750.0,0.75,13788209987369430635,,centered_directional_fd,0.09984663873910904,signal
stage0_full_001,base,clean/adjust_bottle/episode_000044/0_139,adjust_bottle,episode_000044,clean,,,,action_velocity,direction_geometry,1.0,0.5,500.0,0.5,13788209987369430635,,centered_directional_fd,0.10185432434082031,signal
stage0_full_001,base,clean/adjust_bottle/episode_000044/0_139,adjust_bottle,episode_000044,clean,,,,action_velocity,direction_geometry,1.0,0.75,251.00001525878906,0.2510000169277191,13788209987369430635,,centered_directional_fd,0.1702406257390976,signal
stage0_full_001,base,clean/adjust_bottle/episode_000044/0_139,adjust_bottle,episode_000044,clean,,,,action_velocity,,0.5,0.25,,,,,directional_selectivity,177414655685.4248,
stage0_full_001,base,clean/adjust_bottle/episode_000044/0_139,adjust_bottle,episode_000044,clean,,,,action_velocity,,0.5,0.25,,,,,directional_selectivity,177414655685.4248,
stage0_full_001,base,clean/adjust_bottle/episode_000044/0_139,adjust_bottle,episode_000044,clean,,,,action_velocity,,1.0,0.25,,,,,directional_selectivity,99846638739.10904,
stage0_full_001,base,clean/adjust_bottle/episode_000044/0_139,adjust_bottle,episode_000044,clean,,,,action_velocity,,1.0,0.25,,,,,directional_selectivity,99846638739.10904,
stage0_full_001,base,clean/adjust_bottle/episode_000044/0_139,adjust_bottle,episode_000044,clean,,,,action_velocity,,0.5,0.5,,,,,directional_selectivity,194936826825.1419,
stage0_full_001,base,clean/adjust_bottle/episode_000044/0_139,adjust_bottle,episode_000044,clean,,,,action_velocity,,0.5,0.5,,,,,directional_selectivity,194936826825.1419,
stage0_full_001,base,clean/adjust_bottle/episode_000044/0_139,adjust_bottle,episode_000044,clean,,,,action_velocity,,1.0,0.5,,,,,directional_selectivity,101854324340.82031,
stage0_full_001,base,clean/adjust_bottle/episode_000044/0_139,adjust_bottle,episode_000044,clean,,,,action_velocity,,1.0,0.5,,,,,directional_selectivity,101854324340.82031,
stage0_full_001,base,clean/adjust_bottle/episode_000044/0_139,adjust_bottle,episode_000044,clean,,,,action_velocity,,0.5,0.75,,,,,directional_selectivity,263473510742.1875,
stage0_full_001,base,clean/adjust_bottle/episode_000044/0_139,adjust_bottle,episode_000044,clean,,,,action_velocity,,0.5,0.75,,,,,directional_selectivity,263473510742.1875,
stage0_full_001,base,clean/adjust_bottle/episode_000044/0_139,adjust_bottle,episode_000044,clean,,,,action_velocity,,1.0,0.75,,,,,directional_selectivity,170240625739.0976,
stage0_full_001,base,clean/adjust_bottle/episode_000044/0_139,adjust_bottle,episode_000044,clean,,,,action_velocity,,1.0,0.75,,,,,directional_selectivity,170240625739.0976,
stage0_full_001,base,clean/beat_block_hammer/episode_000035/0_109,beat_block_hammer,episode_000035,clean,,,,action_velocity,direction_photo,0.5,0.25,750.0,0.75,6638251237087193106,,centered_directional_fd,0.0,nuisance
stage0_full_001,base,clean/beat_block_hammer/episode_000035/0_109,beat_block_hammer,episode_000035,clean,,,,action_velocity,direction_photo,0.5,0.5,500.0,0.5,6638251237087193106,,centered_directional_fd,0.0,nuisance
stage0_full_001,base,clean/beat_block_hammer/episode_000035/0_109,beat_block_hammer,episode_000035,clean,,,,action_velocity,direction_photo,0.5,0.75,251.00001525878906,0.2510000169277191,6638251237087193106,,centered_directional_fd,0.0,nuisance
stage0_full_001,base,clean/beat_block_hammer/episode_000035/0_109,beat_block_hammer,episode_000035,clean,,,,action_velocity,direction_photo,1.0,0.25,750.0,0.75,6638251237087193106,,centered_directional_fd,0.0,nuisance
stage0_full_001,base,clean/beat_block_hammer/episode_000035/0_109,beat_block_hammer,episode_000035,clean,,,,action_velocity,direction_photo,1.0,0.5,500.0,0.5,6638251237087193106,,centered_directional_fd,0.0,nuisance
stage0_full_001,base,clean/beat_block_hammer/episode_000035/0_109,beat_block_hammer,episode_000035,clean,,,,action_velocity,direction_photo,1.0,0.75,251.00001525878906,0.2510000169277191,6638251237087193106,,centered_directional_fd,0.0,nuisance
stage0_full_001,base,clean/beat_block_hammer/episode_000035/0_109,beat_block_hammer,episode_000035,clean,,,,action_velocity,direction_geometry,0.5,0.25,750.0,0.75,6638251237087193106,,centered_directional_fd,0.18614386022090912,signal
stage0_full_001,base,clean/beat_block_hammer/episode_000035/0_109,beat_block_hammer,episode_000035,clean,,,,action_velocity,direction_geometry,0.5,0.5,500.0,0.5,6638251237087193106,,centered_directional_fd,0.19532440602779388,signal
stage0_full_001,base,clean/beat_block_hammer/episode_000035/0_109,beat_block_hammer,episode_000035,clean,,,,action_velocity,direction_geometry,0.5,0.75,251.00001525878906,0.2510000169277191,6638251237087193106,,centered_directional_fd,0.2830088436603546,signal
stage0_full_001,base,clean/beat_block_hammer/episode_000035/0_109,beat_block_hammer,episode_000035,clean,,,,action_velocity,direction_geometry,1.0,0.25,750.0,0.75,6638251237087193106,,centered_directional_fd,0.08599813282489777,signal
stage0_full_001,base,clean/beat_block_hammer/episode_000035/0_109,beat_block_hammer,episode_000035,clean,,,,action_velocity,direction_geometry,1.0,0.5,500.0,0.5,6638251237087193106,,centered_directional_fd,0.0978555977344513,signal
stage0_full_001,base,clean/beat_block_hammer/episode_000035/0_109,beat_block_hammer,episode_000035,clean,,,,action_velocity,direction_geometry,1.0,0.75,251.00001525878906,0.2510000169277191,6638251237087193106,,centered_directional_fd,0.13476167619228363,signal
stage0_full_001,base,clean/beat_block_hammer/episode_000035/0_109,beat_block_hammer,episode_000035,clean,,,,action_velocity,,0.5,0.25,,,,,directional_selectivity,186143860220.90912,
stage0_full_001,base,clean/beat_block_hammer/episode_000035/0_109,beat_block_hammer,episode_000035,clean,,,,action_velocity,,0.5,0.25,,,,,directional_selectivity,186143860220.90912,
stage0_full_001,base,clean/beat_block_hammer/episode_000035/0_109,beat_block_hammer,episode_000035,clean,,,,action_velocity,,1.0,0.25,,,,,directional_selectivity,85998132824.89777,
stage0_full_001,base,clean/beat_block_hammer/episode_000035/0_109,beat_block_hammer,episode_000035,clean,,,,action_velocity,,1.0,0.25,,,,,directional_selectivity,85998132824.89777,
stage0_full_001,base,clean/beat_block_hammer/episode_000035/0_109,beat_block_hammer,episode_000035,clean,,,,action_velocity,,0.5,0.5,,,,,directional_selectivity,195324406027.79388,
stage0_full_001,base,clean/beat_block_hammer/episode_000035/0_109,beat_block_hammer,episode_000035,clean,,,,action_velocity,,0.5,0.5,,,,,directional_selectivity,195324406027.79388,
stage0_full_001,base,clean/beat_block_hammer/episode_000035/0_109,beat_block_hammer,episode_000035,clean,,,,action_velocity,,1.0,0.5,,,,,directional_selectivity,97855597734.4513,
stage0_full_001,base,clean/beat_block_hammer/episode_000035/0_109,beat_block_hammer,episode_000035,clean,,,,action_velocity,,1.0,0.5,,,,,directional_selectivity,97855597734.4513,
stage0_full_001,base,clean/beat_block_hammer/episode_000035/0_109,beat_block_hammer,episode_000035,clean,,,,action_velocity,,0.5,0.75,,,,,directional_selectivity,283008843660.3546,
stage0_full_001,base,clean/beat_block_hammer/episode_000035/0_109,beat_block_hammer,episode_000035,clean,,,,action_velocity,,0.5,0.75,,,,,directional_selectivity,283008843660.3546,
stage0_full_001,base,clean/beat_block_hammer/episode_000035/0_109,beat_block_hammer,episode_000035,clean,,,,action_velocity,,1.0,0.75,,,,,directional_selectivity,134761676192.28363,
stage0_full_001,base,clean/beat_block_hammer/episode_000035/0_109,beat_block_hammer,episode_000035,clean,,,,action_velocity,,1.0,0.75,,,,,directional_selectivity,134761676192.28363,
