run_id,checkpoint,sample_id,task,episode_or_seed,domain,c2r_split,progress_bin,layer,token_group,perturbation,severity,timestep_quantile,timestep,sigma,noise_seed,transform_seed,metric_name,metric_value
stage0_full_001,base,c2r/background/stack_bowls_three/seed_27804535/progress_000,stack_bowls_three,seed_27804535,c2r,background,0.0,0,condition_video,,,,,,,,knn_k1,0.40481066703796387
stage0_full_001,base,c2r/background/handover_block/seed_120650234/progress_000,handover_block,seed_120650234,c2r,background,0.0,0,condition_video,,,,,,,,knn_k1,0.4094708561897278
stage0_full_001,base,c2r/background/hanging_mug/seed_538778923/progress_000,hanging_mug,seed_538778923,c2r,background,0.0,0,condition_video,,,,,,,,knn_k1,0.37997856736183167
stage0_full_001,base,c2r/background/scan_object/seed_262761732/progress_000,scan_object,seed_262761732,c2r,background,0.0,0,condition_video,,,,,,,,knn_k1,0.3259694576263428
stage0_full_001,base,c2r/background/lift_pot/seed_710924868/progress_000,lift_pot,seed_710924868,c2r,background,0.0,0,condition_video,,,,,,,,knn_k1,0.3280877470970154
stage0_full_001,base,c2r/background/put_object_cabinet/seed_13370600/progress_000,put_object_cabinet,seed_13370600,c2r,background,0.0,0,condition_video,,,,,,,,knn_k1,0.27280309796333313
stage0_full_001,base,c2r/background/stack_blocks_three/seed_822087810/progress_000,stack_blocks_three,seed_822087810,c2r,background,0.0,0,condition_video,,,,,,,,knn_k1,0.4514000415802002
stage0_full_001,base,c2r/background/place_shoe/seed_676166693/progress_000,place_shoe,seed_676166693,c2r,background,0.0,0,condition_video,,,,,,,,knn_k1,0.36765122413635254
stage0_full_001,base,c2r/background/adjust_bottle/seed_863397555/progress_000,adjust_bottle,seed_863397555,c2r,background,0.0,0,condition_video,,,,,,,,knn_k1,0.3752095401287079
stage0_full_001,base,c2r/background/place_mouse_pad/seed_457852611/progress_000,place_mouse_pad,seed_457852611,c2r,background,0.0,0,condition_video,,,,,,,,knn_k1,0.38622942566871643
stage0_full_001,base,c2r/background/dump_bin_bigbin/seed_773111305/progress_000,dump_bin_bigbin,seed_773111305,c2r,background,0.0,0,condition_video,,,,,,,,knn_k1,0.39361053705215454
stage0_full_001,base,c2r/background/move_pillbottle_pad/seed_568983342/progress_000,move_pillbottle_pad,seed_568983342,c2r,background,0.0,0,condition_video,,,,,,,,knn_k1,0.43247219920158386
stage0_full_001,base,c2r/background/pick_dual_bottles/seed_117166061/progress_000,pick_dual_bottles,seed_117166061,c2r,background,0.0,0,condition_video,,,,,,,,knn_k1,0.32823336124420166
stage0_full_001,base,c2r/background/shake_bottle/seed_331965946/progress_000,shake_bottle,seed_331965946,c2r,background,0.0,0,condition_video,,,,,,,,knn_k1,0.4787936508655548
stage0_full_001,base,c2r/background/place_fan/seed_543070044/progress_000,place_fan,seed_543070044,c2r,background,0.0,0,condition_video,,,,,,,,knn_k1,0.4098166227340698
stage0_full_001,base,c2r/background/turn_switch/seed_489873751/progress_000,turn_switch,seed_489873751,c2r,background,0.0,0,condition_video,,,,,,,,knn_k1,0.39461609721183777
stage0_full_001,base,c2r/background/shake_bottle_horizontally/seed_319358196/progress_000,shake_bottle_horizontally,seed_319358196,c2r,background,0.0,0,condition_video,,,,,,,,knn_k1,0.3803723454475403
stage0_full_001,base,c2r/background/place_container_plate/seed_14431598/progress_000,place_container_plate,seed_14431598,c2r,background,0.0,0,condition_video,,,,,,,,knn_k1,0.4010154604911804
stage0_full_001,base,c2r/background/rotate_qrcode/seed_372345110/progress_000,rotate_qrcode,seed_372345110,c2r,background,0.0,0,condition_video,,,,,,,,knn_k1,0.355339914560318
stage0_full_001,base,c2r/background/place_object_stand/seed_715864988/progress_000,place_object_stand,seed_715864988,c2r,background,0.0,0,condition_video,,,,,,,,knn_k1,0.3454216718673706
stage0_full_001,base,c2r/background/put_bottles_dustbin/seed_455479075/progress_000,put_bottles_dustbin,seed_455479075,c2r,background,0.0,0,condition_video,,,,,,,,knn_k1,0.4626196026802063
stage0_full_001,base,c2r/background/move_stapler_pad/seed_453776751/progress_000,move_stapler_pad,seed_453776751,c2r,background,0.0,0,condition_video,,,,,,,,knn_k1,0.42695653438568115
stage0_full_001,base,c2r/background/place_burger_fries/seed_165469501/progress_000,place_burger_fries,seed_165469501,c2r,background,0.0,0,condition_video,,,,,,,,knn_k1,0.4078065752983093
stage0_full_001,base,c2r/background/place_bread_basket/seed_490234398/progress_000,place_bread_basket,seed_490234398,c2r,background,0.0,0,condition_video,,,,,,,,knn_k1,0.3655754029750824
stage0_full_001,base,c2r/background/pick_diverse_bottles/seed_886697844/progress_000,pick_diverse_bottles,seed_886697844,c2r,background,0.0,0,condition_video,,,,,,,,knn_k1,0.3254029154777527
stage0_full_001,base,c2r/background/open_microwave/seed_443701932/progress_000,open_microwave,seed_443701932,c2r,background,0.0,0,condition_video,,,,,,,,knn_k1,0.3440523147583008
stage0_full_001,base,c2r/background/beat_block_hammer/seed_797298394/progress_000,beat_block_hammer,seed_797298394,c2r,background,0.0,0,condition_video,,,,,,,,knn_k1,0.3733791410923004
stage0_full_001,base,c2r/background/press_stapler/seed_262831721/progress_000,press_stapler,seed_262831721,c2r,background,0.0,0,condition_video,,,,,,,,knn_k1,0.36800599098205566
stage0_full_001,base,c2r/background/click_bell/seed_748992159/progress_000,click_bell,seed_748992159,c2r,background,0.0,0,condition_video,,,,,,,,knn_k1,0.40166762471199036
stage0_full_001,base,c2r/background/move_playingcard_away/seed_114732817/progress_000,move_playingcard_away,seed_114732817,c2r,background,0.0,0,condition_video,,,,,,,,knn_k1,0.4097127914428711
stage0_full_001,base,c2r/background/open_laptop/seed_121410776/progress_000,open_laptop,seed_121410776,c2r,background,0.0,0,condition_video,,,,,,,,knn_k1,0.40615221858024597
stage0_full_001,base,c2r/background/move_can_pot/seed_600430797/progress_000,move_can_pot,seed_600430797,c2r,background,0.0,0,condition_video,,,,,,,,knn_k1,0.4245474636554718
stage0_full_001,base,c2r/background/stack_bowls_two/seed_444040936/progress_000,stack_bowls_two,seed_444040936,c2r,background,0.0,0,condition_video,,,,,,,,knn_k1,0.4094773232936859
stage0_full_001,base,c2r/background/place_a2b_right/seed_550624350/progress_000,place_a2b_right,seed_550624350,c2r,background,0.0,0,condition_video,,,,,,,,knn_k1,0.3636897802352905
stage0_full_001,base,c2r/background/stamp_seal/seed_373032052/progress_000,stamp_seal,seed_373032052,c2r,background,0.0,0,condition_video,,,,,,,,knn_k1,0.39978891611099243
stage0_full_001,base,c2r/background/place_object_basket/seed_13972055/progress_000,place_object_basket,seed_13972055,c2r,background,0.0,0,condition_video,,,,,,,,knn_k1,0.4035593867301941
stage0_full_001,base,c2r/background/handover_mic/seed_791372736/progress_000,handover_mic,seed_791372736,c2r,background,0.0,0,condition_video,,,,,,,,knn_k1,0.35170087218284607
stage0_full_001,base,c2r/background/place_bread_skillet/seed_682411729/progress_000,place_bread_skillet,seed_682411729,c2r,background,0.0,0,condition_video,,,,,,,,knn_k1,0.34709852933883667
stage0_full_001,base,c2r/background/stack_blocks_two/seed_325046254/progress_000,stack_blocks_two,seed_325046254,c2r,background,0.0,0,condition_video,,,,,,,,knn_k1,0.44039031863212585
stage0_full_001,base,c2r/background/place_cans_plasticbox/seed_851474539/progress_000,place_cans_plasticbox,seed_851474539,c2r,background,0.0,0,condition_video,,,,,,,,knn_k1,0.37410101294517517
stage0_full_001,base,c2r/background/click_alarmclock/seed_597249174/progress_000,click_alarmclock,seed_597249174,c2r,background,0.0,0,condition_video,,,,,,,,knn_k1,0.3367682993412018
stage0_full_001,base,c2r/background/blocks_ranking_size/seed_483186537/progress_000,blocks_ranking_size,seed_483186537,c2r,background,0.0,0,condition_video,,,,,,,,knn_k1,0.4565868079662323
stage0_full_001,base,c2r/background/place_phone_stand/seed_844715882/progress_000,place_phone_stand,seed_844715882,c2r,background,0.0,0,condition_video,,,,,,,,knn_k1,0.3460586667060852
stage0_full_001,base,c2r/background/place_can_basket/seed_873890208/progress_000,place_can_basket,seed_873890208,c2r,background,0.0,0,condition_video,,,,,,,,knn_k1,0.3967585563659668
stage0_full_001,base,c2r/background/place_object_scale/seed_28989601/progress_000,place_object_scale,seed_28989601,c2r,background,0.0,0,condition_video,,,,,,,,knn_k1,0.4028787314891815
